"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652150","1.1.1.1.4","58.8","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652150","1.1.1.1.4","53.8","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652150","1.1.1.1.4","52.2","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652158","1.1.1.2.4","11.9","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652158","1.1.1.2.4","14.5","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652158","1.1.1.2.4","14.4","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652166","1.1.1.3.4","58.7","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652166","1.1.1.3.4","54.8","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652166","1.1.1.3.4","53.8","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652174","1.1.1.4.4","11.7","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652174","1.1.1.4.4","14.4","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652174","1.1.1.4.4","15.0","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652182","1.1.1.5.4","20.8","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652182","1.1.1.5.4","22.3","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652182","1.1.1.5.4","22.4","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Mood disorder","Percent","Percent","239","units","0","v1600652230","1.1.1.11.4","10.0","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Mood disorder","Percent","Percent","239","units","0","v1600652230","1.1.1.11.4","11.7","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Mood disorder","Percent","Percent","239","units","0","v1600652230","1.1.1.11.4","13.0","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Anxiety disorder","Percent","Percent","239","units","0","v1600652238","1.1.1.12.4","10.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Anxiety disorder","Percent","Percent","239","units","0","v1600652238","1.1.1.12.4","14.8","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Anxiety disorder","Percent","Percent","239","units","0","v1600652238","1.1.1.12.4","15.3","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652246","1.1.1.13.4","12.7","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652246","1.1.1.13.4","12.5","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652246","1.1.1.13.4","11.4","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652270","1.1.1.16.4","5.8","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652270","1.1.1.16.4","6.5","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652270","1.1.1.16.4","5.7","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Heavy drinking","Percent","Percent","239","units","0","v1600652294","1.1.1.19.4","16.6","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Heavy drinking","Percent","Percent","239","units","0","v1600652294","1.1.1.19.4","21.0","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Both sexes","Heavy drinking","Percent","Percent","239","units","0","v1600652294","1.1.1.19.4","19.4","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652358","1.1.2.1.4","59.0","","","","1"
